1,2426.52,1,0
2,2423.27,0,0
3,2423.41,0,0
4,2425.48,0,0
5,2428.06,0,0
6,2429.7,0,0
7,2430.5,0,0
8,2435.05,0,0
9,2437.68,0,0
10,2441.42,0,0
11,2444.37,0,0
12,2447.45,0,0
13,2451.26,0,0
14,2451.28,0,0
15,2451.51,0,0
16,2451.6,0,0
17,2451.83,0,0
18,2458.84,1,0
19,2456.14,0,0
20,2455.54,0,0
21,2454.07,0,0
22,2453.67,0,0
23,2427.06,0,1
24,2429.86,0,0
25,2428.1,0,0
26,2429.34,0,0
27,2429,0,0
28,2399.99,0,1
29,2387.05,0,0
30,2368.38,0,0
31,2323.44,0,0
32,2240.52,0,0
33,2098.5,0,0
34,1902.09,0,0
35,1789.13,0,0
36,1822.12,0,0
37,1825.04,0,0
38,1710.85,0,0
39,1748.29,0,0
40,1780.85,0,0
41,1864.12,0,0
42,1168.95,0,1
43,1769.19,0,0
44,1846.18,0,0
45,1896.4,0,0
46,1890.67,0,0
47,1854.93,0,0
48,1880.47,0,0
49,1847.38,0,0
50,1912.3,0,0
51,1836.57,0,0
52,2488.63,1,0
53,2485.95,0,0
54,2484.62,0,0
55,2480.97,0,0
56,2476.62,0,0
57,2470.39,0,0
58,2462.81,0,0
59,2454.76,0,0
60,2440.16,0,0
61,2424.06,0,0
62,2408.02,0,0
63,2394,0,0
64,2353.76,0,1
65,2335.2,0,0
66,2327.34,0,0
67,2332.74,0,0
68,2333.04,0,0
69,2338.71,0,0
70,2290.15,0,0
71,2186.55,0,0
72,2078.33,0,0
